Province/State,Country,Region,Lat,Long,ConfirmedCases,RecoveredCases,Deaths
Gibraltar,United Kingdom,Europe & Central Asia,36.1408,-5.3536,182,180,1
Isle of Man,United Kingdom,Europe & Central Asia,54.2361,-4.5481,336,312,24
Montserrat,United Kingdom,Europe & Central Asia,16.742498,-62.187366,12,10,1
,United Kingdom,Europe & Central Asia,55.3781,-3.436,296377,1,45501
,Uruguay,Latin America & Caribbean,-32.5228,-55.7658,1117,934,34
,United States,North America,40,-100,3970085,1210849,143190
,Uzbekistan,Europe & Central Asia,41.377491,64.585262,18379,9872,98
,Venezuela,Latin America & Caribbean,6.4238,-66.5897,13164,7471,124
,Vietnam,East Asia & Pacific,14.058324,108.277199,408,365,1
,Zambia,Sub-Saharan Africa,-13.133897,27.849332,3583,1677,128
,Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,2034,510,26
Diamond Princess,Canada,North America,0,0,1,651,1
,Dominica,Latin America & Caribbean,15.415,-61.371,18,18,1
,Grenada,Latin America & Caribbean,12.1165,-61.679,23,23,1
,Mozambique,Sub-Saharan Africa,-18.665695,35.529562,1557,1,11
,Syria,Middle East & North Africa,34.802075,38.996815,561,165,32
,Timor-Leste,East Asia & Pacific,-8.874217,125.727539,24,1,1
,Belize,Latin America & Caribbean,17.1899,-88.4976,43,23,2
,Laos,East Asia & Pacific,19.85627,102.495496,19,19,1
,Libya,Middle East & North Africa,26.3351,17.228331,2176,489,53
,West Bank and Gaza,Middle East & North Africa,31.9522,35.2332,9398,1950,66
,Guinea-Bissau,Sub-Saharan Africa,11.8037,-15.1804,1954,803,26
,Mali,Sub-Saharan Africa,17.570692,-3.996166,2494,1869,123
Northwest Territories,Canada,North America,64.8255,-124.8457,5,1,1
Yukon,Canada,North America,64.2823,-135,13,1,1
,Kosovo,Europe & Central Asia,42.602636,20.902977,6286,3369,150
,Myanmar,East Asia & Pacific,21.9162,95.956,343,280,6
Anguilla,United Kingdom,Europe & Central Asia,18.2206,-63.0686,3,3,1
British Virgin Islands,United Kingdom,Europe & Central Asia,18.4207,-64.64,8,7,1
Turks and Caicos Islands,United Kingdom,Europe & Central Asia,21.694,-71.7979,82,22,2
,Botswana,Sub-Saharan Africa,-22.3285,24.6849,522,48,1
,Burundi,Sub-Saharan Africa,-3.3731,29.9189,328,207,1
,Sierra Leone,Sub-Saharan Africa,8.460555,-11.779889,1731,1288,66
"Bonaire, Sint Eustatius and Saba",Netherlands,Europe & Central Asia,12.1784,-68.2385,10,7,1
,Malawi,Sub-Saharan Africa,-13.2543,34.3015,3302,1282,76
Falkland Islands (Malvinas),United Kingdom,Europe & Central Asia,-51.7963,-59.5236,13,13,1
Saint Pierre and Miquelon,France,Europe & Central Asia,46.8852,-56.3159,4,1,1
,South Sudan,Sub-Saharan Africa,6.877,31.307,2211,1175,45
,Sao Tome and Principe,Sub-Saharan Africa,0.1864,6.6131,747,601,14
,Yemen,Middle East & North Africa,15.552727,48.516388,1640,751,458
,Comoros,Sub-Saharan Africa,-11.6455,43.3333,337,319,7
,Tajikistan,Europe & Central Asia,38.861,71.2761,7015,5741,58
,Lesotho,Sub-Saharan Africa,-29.61,28.2336,359,69,6
